date,nhs_name,sgtf,other,perc,t,n
2020-10-25,North East and Yorkshire,43,2442,0.017303822937625755,25,2485
2020-10-25,North West,20,2619,0.007578628268283441,25,2639
2020-10-25,South East,3,49,0.057692307692307696,25,52
2020-10-25,South West,3,50,0.05660377358490566,25,53
2020-10-26,East of England,40,606,0.06191950464396285,26,646
2020-10-26,London,126,1852,0.06370070778564206,26,1978
2020-10-26,Midlands,37,2483,0.014682539682539682,26,2520
2020-10-26,North East and Yorkshire,93,4083,0.022270114942528736,26,4176
2020-10-26,North West,60,4321,0.013695503309746632,26,4381
2020-10-26,South East,113,948,0.10650329877474081,26,1061
2020-10-26,South West,21,286,0.06840390879478828,26,307
2020-10-27,East of England,18,480,0.03614457831325301,27,498
2020-10-27,London,111,1450,0.07110826393337603,27,1561
2020-10-27,Midlands,49,2903,0.01659891598915989,27,2952
2020-10-27,North East and Yorkshire,73,3862,0.01855146124523507,27,3935
2020-10-27,North West,37,3839,0.009545923632610939,27,3876
2020-10-27,South East,116,836,0.12184873949579832,27,952
2020-10-27,South West,38,445,0.07867494824016563,27,483
2020-10-28,East of England,19,529,0.03467153284671533,28,548
2020-10-28,London,91,1414,0.06046511627906977,28,1505
2020-10-28,Midlands,44,2492,0.017350157728706624,28,2536
2020-10-28,North East and Yorkshire,84,3576,0.022950819672131147,28,3660
2020-10-28,North West,40,3053,0.012932428063368898,28,3093
2020-10-28,South East,122,785,0.1345093715545755,28,907
2020-10-28,South West,16,202,0.07339449541284404,28,218
2020-10-29,East of England,15,373,0.03865979381443299,29,388
2020-10-29,London,53,841,0.0592841163310962,29,894
2020-10-29,Midlands,53,1948,0.026486756621689155,29,2001
2020-10-29,North East and Yorkshire,62,3433,0.017739628040057225,29,3495
2020-10-29,North West,37,3454,0.010598682325981094,29,3491
2020-10-29,South East,53,410,0.11447084233261338,29,463
2020-10-29,South West,14,151,0.08484848484848485,29,165
2020-10-30,East of England,21,487,0.04133858267716536,30,508
2020-10-30,London,65,1214,0.0508209538702111,30,1279
2020-10-30,Midlands,39,2376,0.016149068322981366,30,2415
2020-10-30,North East and Yorkshire,79,3617,0.021374458874458876,30,3696
2020-10-30,North West,35,3300,0.010494752623688156,30,3335
2020-10-30,South East,95,764,0.11059371362048893,30,859
2020-10-30,South West,9,189,0.045454545454545456,30,198
2020-10-31,East of England,20,374,0.050761421319796954,31,394
2020-10-31,London,82,1047,0.07263064658990256,31,1129
2020-10-31,Midlands,25,1896,0.013014055179593961,31,1921
2020-10-31,North East and Yorkshire,78,2829,0.026831785345717233,31,2907
2020-10-31,North West,43,2525,0.01674454828660436,31,2568
2020-10-31,South East,77,619,0.11063218390804598,31,696
2020-10-31,South West,3,86,0.033707865168539325,31,89
2020-11-01,East of England,11,276,0.03832752613240418,32,287
2020-11-01,London,55,629,0.0804093567251462,32,684
